id,text,Emotion,Offensive,Hate
2537,أحد التجار الشباب العمانيين يقول للاسف لما يكون عندهم كاش يروحوا هايبرماركت ولما يريدوا صبر يتسوقوا من عندي!!<LF>متى سندرك أن تسوقنا من تاجر عماني فتح لبيت عماني ودعما لاقتصاد الوطن ، واذا اردتم التأكد فسألوا موظفي البنوك كم من آلاف  الريالات يحولها التجار الأجانب إلى الخارج يوميا . https://t.co/tBeNnETQ4z,neutral,no,
5579,@JALHARBISKY مجموعه القدرة الجنسيه👍<LF> <LF>بديل الفياجرا والسنافي💞<LF>زيادة الانتصاب والصلابة💞<LF>علاج القذف السريع💞<LF>طبية وآمنه جداً لمرضى السكر والضغط<LF>معالجه البرود الجنسي💞<LF>زياده طول العضو والحجم💞<LF>@<LF>💯<LF>@<LF>للطلب والاستفسار للتــواصل عبر الواتـس د. لينا رمال📲<LF><LF>@Lina_ramal990<LF>ISGf,optimism,no,
6092,@rwn4o حبيبييي والله اكثثثرر يارب امين🥺♥️♥️,love,no,
2540,#وصال_دوت_FM<LF>مع سميرة الفطيسية @Samira_Alfutisi <LF><LF>أمل الشكيلي مشرف لجنة العلاقات العامة  والمسؤول الإداري في فريق نيازك العطاء<LF> #اليوم_العالمي_للشباب <LF><LF>🎞 | إدارة المرئيات عمار البوسعيدي @ALBusaidiAmr<LF><LF>https://t.co/WubcxZ7NuX,neutral,no,
3159,من ينتزع ارواح اطفالنا من أجسادها بكل وحشية عليه ان يخشى ويخاف من غضبنا ويقلق من ردنا ويرتعد من بأس الله الذي منحنا إياه <LF>فـ صواريخنا المجنحة والبالستية و طائراتنا المسيرة ستلاحق المجرمين الى عقر دورهم وهذا ما سوف يحدث بلا شك بإذن الله<LF><LF>#أطفال_اليمن https://t.co/AFGQU5XokG,anticipation,no,
5322,RT @6Basma6: مش هنسمح بشويه فاسده ان يجيبوا سيره نادينا او يقربوا منه<LF>#ترك_يشخلل_اعلام_يرقص,disgust,yes,not_hate
2457,#مصمم #ترويسه #رمزيات #شعارات<LF><LF> #اعلانات #البطاقات_الشعريه #انفوجراف<LF>حتى عودة الحساب @so_4140 <LF>.<LF><LF>تشرفت بعمل ترويسه  <LF><LF>لــــ  <LF>  للانيقه #شمس_الصباح <LF><LF>@sun_support2 <LF>.........<LF> ↴  <LF><LF>رأيكم يهمني https://t.co/tUgkSRFKDa,neutral,no,
6826,قرت عينك الله لايحرمكم من بعض💚💚💚💚💚💚💚#رفعه_الصيعري,love,no,
7991,سيسي خاين..سيسي قاتل <LF>#هتافات_ثورية,anger,no,
7051,مسيرات جمعة غضب القدس تتواصل في مختلف مناطق البحرين تنديدًا بخطوة النظام في التطبيع مع العدو الاسرائيلي - ١٨ سبتمبر ٢٠٢٠<LF><LF>#البحرين #التطبيع_خيانة<LF>#بحرينيون_ضد_التطبيع <LF>#فلسطين #الوفاق #Bahrain https://t.co/kBhiuqdJfN,anger,yes,not_hate
5867,@o2a_y الله يوفقك حبيبنا سعيد وكل جماهير النصر داعمه لك 💛💛💛,optimism,no,
558,ليك حق تضحك ياعمهم مانت فشختهم 😂 https://t.co/7HTIAEw4ZG,joy,no,
7405,RT @tlbakhsh: @AddadRuh مخصصة للاجانب فقط والسعودي كخه!! اشياء عجيبة غريبة مانشوفها غير في السعودية!! المشكلة الاجانب نفسهم في دولهم مايعمل…,anger,yes,hate
1371,❣••●✨☜ #تركي ☞✨❣••●<LF>الفرحة تطرب بـ قلوبنا ♥️<LF> أجمل الأهازيج الوجدانية الودية ..🌷<LF> حضوره ملأ المكان بـ شذى الورود وعبق الزهور🌷🌹 ✦<LF>🌸إبـداع<LF>┋👑تمــيز<LF>┋┋🌸حضــور<LF>┋👑ذوووق<LF> 🌺تميز<LF>.<LF>الف مبروك في الف مليار مبرووووووووك <LF>وصولك الـ #1000<LF>#تركي <LF><LF>@Torke4411 https://t.co/szRm3lBIwp,love,no,
907,التوصيل داخل القصيم مجاني 😉<LF><LF>#القصيم https://t.co/NGCZSIUyuL,neutral,no,
4313,أي ربِّ.. أينما يمّمت وجهي أُبصر منك ألطافًا تترا، رعيتني مُذ كُنت جنينًا، ولا زلت تُزجي إليّ سحائب لطفك في أوقات الرّخاء والبلاء.. مع كلّ نازلةٍ وفي كلّ مسعى، تحفّنا صور حكمتك البالغة من منعٍ ومنح.. لك الحمد ما عبدناك حق عبادتك، ولا شكرناك حقّ شكرك,love,no,
1433,@k1907G يعنى هو الخول وهى لا,disgust,yes,hate
7012,ماذا تكتب عن الضحكة..التي تجعلك تشعُر وكأن نهراً من العذوبة يسيل فوق روحك؟.,love,no,
4848,@Tefa7azen ثواني بس انت هتققلل منه علشان البطوله ؟! انت بتقول ميسي مبتقولش برشلونا ؟! طيب والظاهره بتاعتك مجبتش البطوله مع اليوفي لي السنه دي ؟!,surprise,no,
3172,RT @evonnabil1: باذن ربنا هنعدى وهنقول نعم وانتم هتفضلوا لوحدكم هربانين وهتموتوا فى الغربة ولا كلب هيسال عليكم https://t.co/EwOnfxOYeG,optimism,no,
6570,#النصر_سابهان<LF> مبروك ياملوووووك. الارض ياشمس الدنيا💙💛,joy,no,
4412,الزنديق #عثمان_العمير <LF>يسخر من #علم_الحديث<LF>في تغريدة عن مباراة #بايرن و #برشلونة<LF>***<LF>#أدعياء_العلمانية #أدعياء_الليبرالية <LF>https://t.co/6kA7tvbfa6,disgust,yes,not_hate
926,أَيُّمَا امْرَأَةٍ تَطَيَّبَتْ ثُمَّ خَرَجَتْ إِلَى الْمَسْجِدِ لَمْ تُقْبَلْ لَهَا صَلَاةٌ حَتَّى تَغْتَسِلَ، <LF>وفي فرق كبير جدًا بين النضافة وإن لما حد ييجي يسلم عليكِ تكون ريحتك جميلة ومش عرق وتراب وبهدلة، وبين التطيب وإن كُل اللي بتعدي عليهم يشموا البرفيوم. https://t.co/kE8BFrg2bV,neutral,no,
6596,الوطني يخدم الوطن ويوثق تاريخه.. https://t.co/QJAkodI2V3,confidence,no,
2470,@Bibii6363 اشوف اللي ورا فاضيين انا باخذ من اللي قدام لو سمحتي,neutral,no,
15,@DimaSadek سيدتي.هذه قناة ممولة بالمال القطري القذر..المال الذي مول وسلح ورعى كل الارهابيين لتدمير البشر والحجر في سوريا والعراق ومصر وليبيا واليمن بالاتفاق مع الاتراك والايرانيين وهي صوت الفاسدين والارهابيين من الاخوان وداعش والقاعدة والمليشيات التابعة لأيران والمليشيات التابعة لتركيا 👇 https://t.co/Pi7kTowC3V,disgust,yes,not_hate
7961,@aa_arabic لعنة الله عليهم ياخذون مال المسلمين ويدعمون به من يقتلونهم,anger,no,
6597,@AlsuwaiketS الف الف مبروك بالتوفيق ان شاء الله لكم,joy,no,
2363,@1pxiu انا مسالمه وبريئه ماسويت شي🥺 https://t.co/6jMVDO31lA,confidence,no,
7939,قروب بنات خالاتي بسناب بيجي يوم واذبحهم ماغير يرسلون مقاطع زقاقين سناب,anger,no,
6281,RT @DrNzNz: لا تستحقر شيئا من الصغائر <LF>ف القشة كسرت ظهر البعير يوما !!,anticipation,no,
1161,@minoshex اكو عرس ماكو عرس اني اجي🙋,joy,no,
3745,@SEkramyofficial اشكال وسخه خساره فيكم دعم الجماهير إللى حصل في فتره ما وبكره هتفهمو إللى انتو بتعملوا ده اكبر غلطه ف حياتكم واسال حسام وابراهيم ومصطفى الخرم وغيرهم كتير <LF>يالا إلى مزبله التاريخ,disgust,yes,hate
2698,".•<LF><LF>ثم #يأتي يوم و يأتي معهُ  ﮼الفرح ..<LF><LF>  من حيث لا تحتسب و تذهبُ ﮼احزانك ..<LF> <LF> #وتزُهر الاماني , تفائل #وردد دائماً : <LF><LF>لعلّ في كل  ﮼تأخيرة   خيره. <LF><LF>.•<LF>#جمعـــة_مبــارڪـة  <LF>#صباحكم_رحمات <LF>#السمو 💕 https://t.co/WYPOdsEEUK",optimism,no,
