id,text,Offensive,HateSpeech
1,@USER ردينا ع التطنز 😏👊🏻,OFF,NOT_HS
2,وصارت فطاير البقالات غذاء صحي 👎🏻 URL,NOT_OFF,NOT_HS
3,@USER روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم الله يفشلكم بس😷,OFF,NOT_HS
4,@USER مش باين حاجه خالص 😣<LF>مش عارف بقى 😔,NOT_OFF,NOT_HS
5,"#اليوم_الاثنين<LF><LF>👏 يقولك :%90  من المسلمين <LF>عندهم خاله اسمها امل<LF>👏أو عمه امل <LF>👏او اخت امل<LF>👏او زوجه امل<LF>👏او بنت امل<LF>✊او حماة امل<LF>👊واللي ماعنده ولا امل<LF>بالعائلة يراجع نفسه لانه وضعه مو طبيعي/😳<LF>وأي قروب فيه ""امل"" هو من أسعد القروبات<LF>اذا عندكم وحده اسمها امل ارسلوها لها😽😻",NOT_OFF,NOT_HS
6,حمدلله ماحطها في فمي اساسا😷🤢 URL,NOT_OFF,NOT_HS
7,@USER هههه 😂🌚🤢,NOT_OFF,NOT_HS
8,#بايع_الكليجا اللي مايضحك من هالمقطع يبلكني هههههههه مطططههببللللل 😂😂😂👌👌👊👊😍😍😩😩😂😂 يمثلني ههههههه 😂😂👊 URL,NOT_OFF,NOT_HS
9,خلاص الله يزعجكم خلللاص 😷😷 #بايع_الكليجا,OFF,NOT_HS
10,@USER هيلق و جحلط غير كذا مافي 😷,OFF,NOT_HS
11,@USER تعبت ارد على كونت تراا متخلفين ورجعيين حتى كل اكتبها كوول كيفي ياناس حلوا عن سماي اااف 👊🏼,OFF,NOT_HS
12,@USER وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا؟؟<LF>الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره👊🏻,OFF,HS2
13,@USER بقوه 👊,NOT_OFF,NOT_HS
14,"RT @USER تذكروا جيدا #قائمة_الجزم 👞 أكرم الله القارئين.<LF>وتذكروا جيدا أنهم دائما وأبدا جاهزون، لتلبية وعد إبليس.<LF>""ابليس يقول: محا…",OFF,NOT_HS
15,RT @USER في ذبانه لو اصيدها والله راح اربطها واركض يمها واصرخ😡,NOT_OFF,NOT_HS
